version,gamma_index,mesh_index,gamma,mesh_size_mm,index,d_mm,force_N,gap_mm,production_relative_residual,hp_relative_residual,force_reference_error_over_bound,gap_reference_error_over_bound,evaluation_full_value,evaluation_free_value,is_original_target,bisection_depth,audit_status
new,1,0,1e-07,0.125,1,0.125,1.3767035151478765e-07,0.12500020453878855,1.4200799909104857e-15,1.3619427591560488151085222476834492590197950866748E-15,7.007143932582773130698954860151399518336231599303258012670283031598262249883211032450337895683387817E-13,3.46419713634459997310369343713917004391551017761230468750E-13,4.2446593466848859465793780236420420748585960988665800408984351220119230146545431E-16,3.9043732629267709572471455932654024277916036071118570293135416880163662209625925E-16,True,0,pass
new,1,0,1e-07,0.125,2,0.21875,1.2625228041898687e-06,0.03125187574653267,5.998827146606075e-16,5.5623128534962153927796773893286094864747163984998E-16,8.259839532009876719198568354710241703245242486690005196562870517306935532332964185421915318209269382E-13,3.19891357939489055738699663193440630912780761718750000E-13,3.2355881302332800388157505511901980407931423869355388393147640953015174323027096E-16,2.6973358073376391167443395977628670251769470743947018438795435074918716543315167E-16,True,0,pass
new,1,0,1e-07,0.125,3,0.25,0.0002630731261836608,0.00039078058494722994,2.394707091074626e-14,2.3838053150400976372606142907919526511011992494823E-14,2.777598885493953703218905642600685211119263576642835328442817377332329575719471516969927338943738164E-8,2.03264060733565949343126444844920441866619873046875E-8,4.3286971228579685616103767457158462239413006050362374836736961401836214472211483E-16,4.1098156960864619959138911789620549045931208077317062382528622027981090018704936E-16,True,0,pass
new,1,0,1e-07,0.125,4,0.25048828125,0.00048286666870748943,0.00022888176623022492,4.5029500776661487e-10,4.5029503429174707941982033276746267981909554646059E-10,0.0003775667322325272204739720517588386908288119008146251801506546332810265134534601408386659832574700603,0.000332508003100604523391267716733074464040358245849609375,3.2966299007171970307324010062138893965714891416418727189565430352354481124984558E-16,2.9614921096316270565872909649280169842314684667669792283293067744901819587348347E-16,False,6,pass
new,1,0,1e-07,0.125,5,0.2509765625,0.000760642238609176,0.00015294182755689915,6.46262561605231e-12,6.4626341376191388683575878004933273717870513211101E-12,0.000003510423154140527596752641729632827929856857562342696866868514468490629578241816413891317870354198228,0.00000367037005651435414094557547517258981622625976562500,7.2295821565515514947574743441546398636550655243223844037241394785629666073779610E-16,6.9760380557715611482513130595500048578544256840483296631758888863613119286076449E-16,False,6,pass
new,1,0,1e-07,0.125,6,0.251953125,0.0013765277095705822,9.006138346765473e-05,4.995921056030182e-11,4.9959997300924146633531509005958363908293924051900E-11,0.00001286364066023137039299806521883649054341251367022187718351489963332475787327660332844817230905857468,0.0000181334176160956738601034677400724883384119169921875,1.6693134825058675721471500282327167732339274275624914988169554832699532604792301E-15,1.6626916029404389578860051236809804899009111582118657584231048301772184386597952E-15,False,5,pass
new,1,0,1e-07,0.125,7,0.25390625,0.0026675532225061225,4.9689492396380754e-05,9.91621200052527e-11,9.9163287385648680594334188095800131746566874877613E-11,0.000009464282693051969874384456803333742136519001605298890033091533999825362220595612302078936782155330172,0.000020547473169068110108476977342322905937267873046875,7.3393668996587844315557996083302369353936322034057468034413962469031117054275723E-15,7.3370608496489868766425780038550573849421010240109338890729350421780606941594643E-15,False,4,pass
new,1,0,1e-07,0.125,8,0.2578125,0.005295689061469667,2.6719376067700987e-05,2.136012991457421e-13,2.1367997623771707352810162451822553189885996943767E-13,7.384814614199926233960484882109532485718668213611184605370786728434119642926119878990411849469239686E-9,2.409043283667074423839537710672374974987500000E-8,1.1747279089838883778999952005012383768494697815170122302682747960315489576434601E-14,1.1746708557782718251296212242887502525768247030722363994568843504619098571394867E-14,False,3,pass
new,1,0,1e-07,0.125,9,0.265625,0.010603515550837075,1.420388086414081e-05,9.19806725807727e-11,9.2022739796528311589197680487038941458585002325698E-11,8.170952534564998009231916824565831954541288671414064847068460616870298591153289151880246133358904248E-7,0.0000055694120328093464952983621900875998032753359375,8.3599223194655193446289705315181317163147382521092518350921038241447182032938658E-14,8.3598935689001737309255011190953768916300665645962528590905212605243124336959381E-14,False,2,pass
new,1,0,1e-07,0.125,10,0.28125,0.021349617461631356,7.487097113079329e-06,3.422058524953687e-13,4.2193895497154142206916090732503706875457721585221E-13,2.952873730359431636588327842010465626002979702897105609629844071632248243536530287187231568047373097E-8,1.25733042009229672027972565022327529468750E-9,3.3943543524958199114586668302706097647422173075228979696449779380905272477216941E-13,3.3942675061126701628164206089918684118182396675349833336161971241793967435260831E-13,True,1,pass
