case_id,direction,h,relative_error,minimum_J_minus,minimum_J_plus,admissible,direction_length,tangent_direction_norm
element_a_field0_tm,cos,0.001,1.4555007888947766e-06,0.6802966846366223,0.6797031055473957,True,1.4142135623730951,0.00022181569194217233
element_a_field0_tm,cos,0.0001,1.4554952734830582e-08,0.6800296779053814,0.6799703199964587,True,1.4142135623730951,0.00022181569194217233
element_a_field0_tm,cos,1e-05,1.4409704692889957e-10,0.6800029678849553,0.679997032094063,True,1.4142135623730951,0.00022181569194217233
element_a_field0_tm,cos,1e-06,5.147806150817757e-11,0.6800002967894397,0.6799997032103504,True,1.4142135623730951,0.00022181569194217233
element_a_field1_solid,sin,0.01,3.9533233086363134e-05,1.0789520987415675,1.081552341341303,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,0.001,3.953136549698303e-07,1.0801695100704276,1.0804295343304011,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,0.0001,3.95311698393875e-09,1.0802869940090052,1.080312996435003,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,1e-05,3.536793857747412e-11,1.0802986998309203,1.0803013000735198,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,sin,1e-06,9.204737448333593e-11,1.080299869987392,1.0803001300116521,True,1.4142135623730951,79.02992175503967
element_a_field1_solid,cos,0.01,0.00011120287482464401,1.0731645314727807,1.0873103593642213,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,0.001,1.111845311779433e-06,1.0795920830596129,1.081006665848757,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,0.0001,1.1119041052675487e-08,1.0802292646050844,1.0803707228839992,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,1e-05,1.0914771188234294e-10,1.0802929270234993,1.080307072851391,True,1.4142135623730951,157.33543186712103
element_a_field1_solid,cos,1e-06,1.9070235746875667e-10,1.08029929270798,1.080300707290769,True,1.4142135623730951,157.33543186712103
element_a_field1_tm,sin,0.01,4.140031934594364e-05,1.0789520987415675,1.081552341341303,True,1.4142135623730951,7.96102269588681e-05
element_a_field1_tm,sin,0.001,4.13982026562959e-07,1.0801695100704276,1.0804295343304011,True,1.4142135623730951,7.96102269588681e-05
element_a_field1_tm,sin,0.0001,4.1398626813956305e-09,1.0802869940090052,1.080312996435003,True,1.4142135623730951,7.96102269588681e-05
element_a_field1_tm,sin,1e-05,3.910547636711033e-11,1.0802986998309203,1.0803013000735198,True,1.4142135623730951,7.96102269588681e-05
element_a_field1_tm,sin,1e-06,9.146494006914904e-11,1.080299869987392,1.0803001300116521,True,1.4142135623730951,7.96102269588681e-05
element_a_field1_tm,cos,0.01,0.00011900210253541168,1.0731645314727807,1.0873103593642213,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,0.001,1.1898094344952643e-06,1.0795920830596129,1.081006665848757,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,0.0001,1.1898325801592503e-08,1.0802292646050844,1.0803707228839992,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,1e-05,1.179578106791449e-10,1.0802929270234993,1.080307072851391,True,1.4142135623730951,0.00015904643789333667
element_a_field1_tm,cos,1e-06,1.740829265046472e-10,1.08029929270798,1.080300707290769,True,1.4142135623730951,0.00015904643789333667
element_a_field2_solid,sin,0.01,8.234356745711115e-05,0.5261474759886167,0.5238364980086823,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,0.001,8.233682215408092e-07,0.5251154687689832,0.5248843709709897,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,0.0001,8.233396858214203e-09,0.5250115540885996,0.5249884443088001,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,1e-05,8.083942128441592e-11,0.5250011554809769,0.524998844502997,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,sin,1e-06,1.1238952833539987e-10,0.5250001155488189,0.5249998844510207,True,1.4142135623730951,192.8687245604628
element_a_field2_solid,cos,0.01,0.00020277633204572287,0.5276141389146458,0.5223648794871655,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,0.001,2.0272717607065522e-06,0.5252623580633832,0.5247374321206351,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,0.0001,2.0271908705764738e-08,0.5250262452480574,0.5249737526537825,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,1e-05,2.0690443632427272e-10,0.525002624619223,0.5249973753597955,True,1.4142135623730951,320.4639755016156
element_a_field2_solid,cos,1e-06,7.12228843516959e-11,0.5250002624628665,0.5249997375369236,True,1.4142135623730951,320.4639755016156
element_a_field2_tm,sin,0.01,9.275779475006686e-05,0.5261474759886167,0.5238364980086823,True,1.4142135623730951,0.00020404659115822894
element_a_field2_tm,sin,0.001,9.274985911160649e-07,0.5251154687689832,0.5248843709709897,True,1.4142135623730951,0.00020404659115822894
element_a_field2_tm,sin,0.0001,9.275180732041443e-09,0.5250115540885996,0.5249884443088001,True,1.4142135623730951,0.00020404659115822894
element_a_field2_tm,sin,1e-05,9.043193268800839e-11,0.5250011554809769,0.524998844502997,True,1.4142135623730951,0.00020404659115822894
element_a_field2_tm,sin,1e-06,7.652554422559502e-11,0.5250001155488189,0.5249998844510207,True,1.4142135623730951,0.00020404659115822894
element_a_field2_tm,cos,0.01,0.0002199974409265953,0.5276141389146458,0.5223648794871655,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,0.001,2.1994509667952916e-06,0.5252623580633832,0.5247374321206351,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,0.0001,2.1994154732097675e-08,0.5250262452480574,0.5249737526537825,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,1e-05,2.2722024478595998e-10,0.525002624619223,0.5249973753597955,True,1.4142135623730951,0.0003472905722309519
element_a_field2_tm,cos,1e-06,6.141975627375937e-11,0.5250002624628665,0.5249997375369236,True,1.4142135623730951,0.0003472905722309519
element_b_field0_solid,sin,0.01,0.00019889622264682158,0.6858160413326583,0.6741679326646406,True,1.3638181696985856,588.3172725124201
element_b_field0_solid,sin,0.001,1.9884833204460803e-06,0.6805823253033874,0.6794175144365857,True,1.3638181696985856,588.3172725124201
element_b_field0_solid,sin,0.0001,1.988495974544008e-08,0.6800582397420398,0.6799417586553597,True,1.3638181696985856,588.3172725124201
element_b_field0_solid,sin,1e-05,1.9908246525230781e-10,0.6800058240463209,0.679994175937653,True,1.3638181696985856,588.3172725124201
element_b_field0_solid,sin,1e-06,1.9475631550073577e-11,0.6800005824053532,0.6799994175944865,True,1.3638181696985856,588.3172725124201
element_b_field0_solid,cos,0.01,0.0003330306664434297,0.6944165324112076,0.6655624859906037,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,0.001,3.3288602349256685e-06,0.6814425974130394,0.6785571927709788,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,0.0001,3.328839248460164e-08,0.6801442691830231,0.6798557287188172,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,1e-05,3.307107589335819e-10,0.6800144270127195,0.6799855729662989,True,1.3638181696985856,617.3748487136772
element_b_field0_solid,cos,1e-06,2.3676803693144698e-11,0.6800014427022162,0.679998557297574,True,1.3638181696985856,617.3748487136772
element_b_field0_tm,sin,0.01,0.00019905726072962158,0.6858160413326583,0.6741679326646406,True,1.3638181696985856,0.0005883517174794908
element_b_field0_tm,sin,0.001,1.9900928303006004e-06,0.6805823253033874,0.6794175144365857,True,1.3638181696985856,0.0005883517174794908
element_b_field0_tm,sin,0.0001,1.9900978790881807e-08,0.6800582397420398,0.6799417586553597,True,1.3638181696985856,0.0005883517174794908
element_b_field0_tm,sin,1e-05,1.9808536416186655e-10,0.6800058240463209,0.679994175937653,True,1.3638181696985856,0.0005883517174794908
element_b_field0_tm,sin,1e-06,1.0014856932853372e-11,0.6800005824053532,0.6799994175944865,True,1.3638181696985856,0.0005883517174794908
element_b_field0_tm,cos,0.01,0.0003346745945782337,0.6944165324112076,0.6655624859906037,True,1.3638181696985856,0.0006182768127266101
element_b_field0_tm,cos,0.001,3.3452917738555135e-06,0.6814425974130394,0.6785571927709788,True,1.3638181696985856,0.0006182768127266101
element_b_field0_tm,cos,0.0001,3.3452595438379376e-08,0.6801442691830231,0.6798557287188172,True,1.3638181696985856,0.0006182768127266101
element_b_field0_tm,cos,1e-05,3.3391268480871454e-10,0.6800144270127195,0.6799855729662989,True,1.3638181696985856,0.0006182768127266101
element_b_field0_tm,cos,1e-06,2.079459267546221e-11,0.6800014427022162,0.679998557297574,True,1.3638181696985856,0.0006182768127266101
element_b_field1_solid,sin,0.01,0.00016485221955340912,1.1181016812527227,1.104002758830148,True,1.3638181696985856,466.835899824546
element_b_field1_solid,sin,0.001,1.6481376892610216e-06,1.1118044683215431,1.1103945760792857,True,1.3638181696985856,466.835899824546
element_b_field1_solid,sin,0.0001,1.648097397737443e-08,1.111170489834117,1.1110295006098911,True,1.3638181696985856,466.835899824546
element_b_field1_solid,sin,1e-05,1.6626316615051852e-10,1.1111070494134314,1.1110929504910088,True,1.3638181696985856,466.835899824546
element_b_field1_solid,sin,1e-06,8.799856149915924e-12,1.1111007049456432,1.1110992950534009,True,1.3638181696985856,466.835899824546
element_b_field1_solid,cos,0.01,0.00018762812087961406,1.1264783455571545,1.0955965452798473,True,1.3638181696985856,397.30893556787913
element_b_field1_solid,cos,0.001,1.8757648089774387e-06,1.1126434644680503,1.1095552844403196,True,1.3638181696985856,397.30893556787913
element_b_field1_solid,cos,0.0001,1.8757375518655205e-08,1.1112544027459283,1.110945584743155,True,1.3638181696985856,397.30893556787913
element_b_field1_solid,cos,1e-05,1.868667685322066e-10,1.111115440837584,1.1110845590373066,True,1.3638181696985856,397.30893556787913
element_b_field1_solid,cos,1e-06,4.589295189054839e-11,1.1111015440893883,1.1110984559093604,True,1.3638181696985856,397.30893556787913
element_b_field1_tm,sin,0.01,0.0001649996261662235,1.1181016812527227,1.104002758830148,True,1.3638181696985856,0.0004668434015320556
element_b_field1_tm,sin,0.001,1.6496107426491771e-06,1.1118044683215431,1.1103945760792857,True,1.3638181696985856,0.0004668434015320556
element_b_field1_tm,sin,0.0001,1.6495649547274487e-08,1.111170489834117,1.1110295006098911,True,1.3638181696985856,0.0004668434015320556
element_b_field1_tm,sin,1e-05,1.656618911212867e-10,1.1111070494134314,1.1110929504910088,True,1.3638181696985856,0.0004668434015320556
element_b_field1_tm,sin,1e-06,7.618115822464196e-12,1.1111007049456432,1.1110992950534009,True,1.3638181696985856,0.0004668434015320556
element_b_field1_tm,cos,0.01,0.00018813976378888062,1.1264783455571545,1.0955965452798473,True,1.3638181696985856,0.0003974035789977743
element_b_field1_tm,cos,0.001,1.8808780328194957e-06,1.1126434644680503,1.1095552844403196,True,1.3638181696985856,0.0003974035789977743
element_b_field1_tm,cos,0.0001,1.8808502874286666e-08,1.1112544027459283,1.110945584743155,True,1.3638181696985856,0.0003974035789977743
element_b_field1_tm,cos,1e-05,1.867567025495617e-10,1.111115440837584,1.1110845590373066,True,1.3638181696985856,0.0003974035789977743
element_b_field1_tm,cos,1e-06,3.737871202105204e-11,1.1111015440893883,1.1110984559093604,True,1.3638181696985856,0.0003974035789977743
element_b_field2_solid,sin,0.01,0.00031362405182816706,0.5300774734587697,0.5199065005385292,True,1.3638181696985856,841.1235765453073
element_b_field2_solid,sin,0.001,3.1351562688517893e-06,0.5255084685159985,0.5244913712239746,True,1.3638181696985856,841.1235765453073
element_b_field2_solid,sin,0.0001,3.135133263245858e-08,0.525050854063301,0.5249491443340987,True,1.3638181696985856,841.1235765453073
element_b_field2_solid,sin,1e-05,3.082792448838491e-10,0.525005085478447,0.5249949145055268,True,1.3638181696985856,841.1235765453073
element_b_field2_solid,sin,1e-06,3.3785843978872604e-11,0.525000508548566,0.5249994914512739,True,1.3638181696985856,841.1235765453073
element_b_field2_solid,cos,0.01,0.0004502735436742081,0.5376217781730099,0.5123572402288014,True,1.3638181696985856,880.5399967607303
