target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
14,0.14,matlab,8.65788911230864e-09,8.657418039644239e-09,0.0,6.220615372578867e-13,6.146281926312629e-13,0.42000000000000004,4.2e-07,0.6163737371872225,0.6163737371872225,True,True,True,True,1.5567963966522098e-16,1.4678886180927996e-14,True,True,8.018078042595923e-15,True,2.0133098091916747e-16,True,pass
15,0.15,python,8.740662684931099e-12,9.471470402395137e-12,0.0,2.64364244879513e-14,8.444266117371776e-15,0.44999999999999996,4.4999999999999993e-07,0.5904431242845003,0.5904431242845003,True,True,True,True,1.7389056303167102e-16,1.7598249689101465e-14,True,True,7.297637692803809e-14,True,0.0,True,pass
15,0.15,matlab,9.069543721454914e-12,9.829196399142646e-12,0.0,1.4655364458042814e-15,4.689624635399589e-15,0.44999999999999996,4.4999999999999993e-07,0.5904431242845011,0.5904431242845011,True,True,True,True,1.6094895916166013e-16,1.328142749420551e-14,True,True,2.4385226688481083e-14,True,1.7220766292404313e-16,True,pass
16,0.16,python,8.317320103777775e-12,9.615793092824668e-12,0.0,6.76170484666254e-14,5.007256617415181e-14,0.48,4.8e-07,0.5648377178237174,0.5648377178237177,True,True,True,True,1.8083458129659546e-16,1.4108076205587838e-14,True,True,3.661237680182821e-14,True,0.0,True,pass
16,0.16,matlab,8.99109368670594e-12,1.0460560218285085e-11,0.0,1.1157908482035255e-13,1.2923072310399501e-13,0.48,4.8e-07,0.5648377178237166,0.5648377178237166,True,True,True,True,1.6645474609716195e-16,1.3630961694325236e-14,True,True,7.401381344852006e-14,True,1.486047389947233e-16,True,pass
17,0.17,python,8.145031694190816e-12,9.691758830264017e-12,0.0,1.3157431012210547e-14,6.295591099339532e-14,0.51,5.1e-07,0.5395829969845607,0.5395829969845605,True,True,True,True,1.8949996974034944e-16,1.671292630763959e-14,True,True,1.2881912117050333e-14,True,2.584709127782586e-16,True,pass
17,0.17,matlab,8.367491025100815e-12,9.495418833050975e-12,0.0,1.3499599811020244e-14,3.322239214699917e-14,0.51,5.1e-07,0.5395829969845588,0.5395829969845588,True,True,True,True,1.7255028049271432e-16,1.3061099711337492e-14,True,True,2.3103429340361477e-14,True,1.2923545638912892e-16,True,pass
18,0.18,python,9.223313956848758e-12,1.0859005369107904e-11,0.0,1.2882893265393238e-14,6.66167120633207e-14,0.54,5.4e-07,0.5147050584194902,0.5147050584194902,True,True,True,True,2.0062849621534136e-16,1.554661494160445e-14,True,True,2.414983252301057e-14,True,1.1316432872871555e-16,True,pass
18,0.18,matlab,8.188452090418057e-12,9.880083065987602e-12,0.0,1.1324361927157476e-13,1.5187887497322463e-13,0.54,5.4e-07,0.5147050584194897,0.5147050584194897,True,True,True,True,1.8149915622908384e-16,1.3526878861073547e-14,True,True,4.67981210549535e-14,True,2.2632865745743037e-16,True,pass
19,0.19,python,8.153778224695707e-12,1.0232668531431806e-11,0.0,1.34115125186352e-13,1.3655905673585058e-13,0.5700000000000001,5.7e-07,0.49023009893094216,0.49023009893094277,True,True,True,True,2.1899710346686595e-16,9.281205339151298e-15,True,True,6.336006405095946e-14,True,0.0,True,pass
