target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
25,0.25,python,9.194063524949906e-12,1.0616349811413032e-11,0.0,3.752816588713586e-14,2.9893669801409084e-15,0.75,7.5e-07,0.35199892111080167,0.35199892111080133,True,True,True,True,2.8423895988946525e-16,1.3663783212247533e-14,True,True,2.646110201884379e-15,True,0.0,True,pass
25,0.25,matlab,9.051021462431796e-12,1.0396610574883771e-11,0.0,4.1967017746309556e-14,2.0471501066083613e-15,0.75,7.5e-07,0.3519989211108017,0.3519989211108017,True,True,True,True,2.6667699274390773e-16,8.393379248124748e-15,True,True,1.8522771413191227e-14,True,0.0,True,pass
26,0.26,python,8.708056569990573e-12,9.347323886458315e-12,0.0,4.907637875040192e-14,8.637563671974217e-14,0.78,7.799999999999999e-07,0.3292279588944184,0.3292279588944191,True,True,True,True,2.861275049724125e-16,9.138487238735425e-15,True,True,1.559363624061526e-14,True,1.8632258959291508e-16,True,pass
26,0.26,matlab,8.716427593526082e-12,1.0436472619064424e-11,0.0,1.1968286596494673e-13,1.2568430767839775e-13,0.78,7.799999999999999e-07,0.3292279588944201,0.3292279588944201,True,True,True,True,2.8883091613266284e-16,8.572593421608166e-15,True,True,2.4556907465536566e-15,True,1.8632258959291532e-16,True,pass
27,0.27,python,9.8715172275157e-12,1.0974150933708434e-11,0.0,9.792267777177195e-14,8.348877145181177e-14,0.81,8.1e-07,0.3064090363409307,0.3064090363409303,True,True,True,True,3.063682624009418e-16,1.0735540430247922e-14,True,True,5.715755752046403e-16,True,1.6933589617037658e-16,True,pass
27,0.27,matlab,7.916482543561144e-12,9.315008051563952e-12,0.0,9.481330630802404e-14,5.79545989663446e-14,0.81,8.1e-07,0.30640903634093275,0.30640903634093275,True,True,True,True,3.0972641347374087e-16,6.527484010703768e-15,True,True,6.4016464422919045e-15,True,5.080076885111318e-16,True,pass
28,0.28,python,8.649672194945463e-12,1.0540391388415867e-11,0.0,8.659853460355752e-14,1.0014217836346648e-13,0.8400000000000001,8.4e-07,0.2837046186207725,0.2837046186207724,True,True,True,True,3.138638582284745e-16,9.443412052585067e-15,True,True,8.112991314225198e-15,True,0.0,True,pass
28,0.28,matlab,8.810774581415894e-12,1.0775499056868837e-11,0.0,7.749483957030838e-14,5.0183186011417923e-14,0.8400000000000001,8.4e-07,0.2837046186207729,0.2837046186207729,True,True,True,True,2.8746219709123815e-16,6.839019452127603e-15,True,True,3.2665465028328434e-14,True,0.0,True,pass
29,0.29,python,7.949455082864779e-12,9.63230237943809e-12,0.0,1.7332284715797756e-14,5.107218991891062e-14,0.8699999999999999,8.699999999999998e-07,0.261159289453403,0.2611592894534027,True,True,True,True,3.021499322935655e-16,9.087764989405125e-15,True,True,7.997333554591197e-15,True,1.4078388273100932e-16,True,pass
29,0.29,matlab,8.952252720627093e-12,1.0076461485551606e-11,0.0,7.617715816712327e-14,5.6637045823926196e-14,0.8699999999999999,8.699999999999998e-07,0.2611592894534032,0.2611592894534032,True,True,True,True,3.171980148039759e-16,8.175668356036837e-15,True,True,6.197933504808193e-15,True,2.8156776546201904e-16,True,pass
30,0.30000000000000004,python,8.503062690083974e-12,1.0044542234142318e-11,0.0,1.6875404582493748e-13,1.1013462767106027e-13,0.9000000000000001,9.000000000000001e-07,0.23878584627577973,0.23878584627577998,True,True,True,True,3.535778696596272e-16,9.260279350448289e-15,True,True,1.1826805114465959e-14,True,0.0,True,pass
30,0.30000000000000004,matlab,7.813981215940482e-12,9.960802877604534e-12,0.0,7.8160016337243e-14,1.9787214406635096e-14,0.9000000000000001,9.000000000000001e-07,0.2387858462757812,0.2387858462757812,True,True,True,True,3.2150461714192297e-16,7.001676826778761e-15,True,True,2.7971332731038814e-14,True,1.2871186721321547e-16,True,pass
31,0.31,python,8.6396617312668e-12,1.0125341835862272e-11,0.0,1.6881232242081456e-14,3.730415446859024e-14,0.9299999999999999,9.299999999999999e-07,0.21671228241098697,0.21671228241098692,True,True,True,True,3.2987855097857023e-16,7.057517588279522e-15,True,True,1.7494283601339642e-14,True,1.1784082795234306e-16,True,pass
31,0.31,matlab,8.312777353175086e-12,1.0157037049379123e-11,0.0,9.974722135027126e-15,5.512623466272013e-14,0.9299999999999999,9.299999999999999e-07,0.21671228241098625,0.21671228241098625,True,True,True,True,3.181230323046884e-16,6.1112749533289626e-15,True,True,8.83549676835352e-15,True,1.1784082795234269e-16,True,pass
32,0.32,python,7.840494622552795e-12,9.787740983474326e-12,0.0,5.3740414028603915e-14,1.1768411193041813e-13,0.96,9.6e-07,0.19493738339130046,0.19493738339130068,True,True,True,True,3.382827780616475e-16,8.477877380909081e-15,True,True,5.669086028236824e-15,True,2.1602072356839818e-16,True,pass
32,0.32,matlab,9.091476151357828e-12,1.006579554302074e-11,0.0,1.0440087746766782e-13,1.2547686399890074e-13,0.96,9.6e-07,0.194937383391302,0.194937383391302,True,True,True,True,3.324840767358871e-16,6.791974373362548e-15,True,True,8.336891217995316e-16,True,0.0,True,pass
33,0.33,python,7.063965614501969e-12,8.701773374411626e-12,0.0,1.1235544773529782e-13,1.4988273994105505e-13,0.99,9.9e-07,0.1735120574696597,0.17351205746965995,True,True,True,True,3.4010417693832293e-16,7.769837939691258e-15,True,True,1.5768881517806572e-16,True,0.0,True,pass
33,0.33,matlab,7.48246972653159e-12,8.95777604210671e-12,0.0,5.529089008837082e-14,7.5508960567933e-14,0.99,9.9e-07,0.17351205746965948,0.17351205746965948,True,True,True,True,3.2943612825363367e-16,5.240238576363853e-15,True,True,1.2615105214244826e-15,True,0.0,True,pass
34,0.34,python,7.68873525085513e-12,8.753858222578617e-12,0.0,4.441780188120243e-14,1.0223701381680905e-14,1.02,1.02e-06,0.15251697193128064,0.15251697193128053,True,True,True,True,3.579151408783479e-16,7.979177508270709e-15,True,True,1.404919189047977e-14,True,0.0,True,pass
34,0.34,matlab,7.679464846937681e-12,9.162091622063315e-12,0.0,4.0417607837339735e-14,1.1770458635050726e-14,1.02,1.02e-06,0.1525169719312785,0.1525169719312785,True,True,True,True,3.434171245701726e-16,6.343550285269635e-15,True,True,9.565407244581897e-15,True,0.0,True,pass
35,0.35,python,7.787829330830696e-12,9.078467191931582e-12,0.0,1.9107451104153048e-14,2.310971295439701e-14,1.0499999999999998,1.0499999999999997e-06,0.13213309404771179,0.13213309404771184,True,True,True,True,3.6464289510378004e-16,8.703367783602218e-15,True,True,3.478067979224241e-14,True,0.0,True,pass
35,0.35,matlab,8.037892897073471e-12,9.263813713114706e-12,0.0,8.089283350590996e-14,1.0170830629400928e-13,1.0499999999999998,1.0499999999999997e-06,0.13213309404771212,0.13213309404771212,True,True,True,True,3.501805226566817e-16,5.875435286094042e-15,True,True,6.1043642084344405e-15,True,1.6705057116391897e-16,True,pass
36,0.36,python,7.999158645253493e-12,9.624615323881651e-12,0.0,8.815422499770127e-14,1.29452195103919e-13,1.08,1.08e-06,0.11231989350755965,0.11231989350755953,True,True,True,True,3.749034525724142e-16,9.082116402285338e-15,True,True,1.756579996175454e-15,True,1.5344005644324427e-16,True,pass
36,0.36,matlab,8.060373253779981e-12,1.0003315007122302e-11,0.0,8.215650382226158e-15,4.171839369083926e-15,1.08,1.08e-06,0.1123198935075606,0.1123198935075606,True,True,True,True,3.577636277659196e-16,6.0437385690293e-15,True,True,5.67510460302828e-15,True,0.0,True,pass
37,0.37,python,7.809808867699414e-12,9.022193647623187e-12,0.0,1.3122854936555475e-13,9.037242698614598e-14,1.1099999999999999,1.1099999999999997e-06,0.09347073259776528,0.09347073259776562,True,True,True,True,3.755370872120216e-16,8.379719081140494e-15,True,True,4.897252522098144e-15,True,1.4096182608436627e-16,True,pass
37,0.37,matlab,8.538777407048562e-12,1.0423315267378644e-11,0.0,1.0882451166731895e-14,2.243090158935384e-14,1.1099999999999999,1.1099999999999997e-06,0.09347073259776507,0.09347073259776507,True,True,True,True,3.57557521056918e-16,4.7478689958119514e-15,True,True,3.7373769247591e-15,True,0.0,True,pass
38,0.38000000000000006,python,7.450070331931901e-12,8.592411729163828e-12,0.0,1.210487318877849e-13,1.8630865575614737e-13,1.1400000000000001,1.14e-06,0.07582278433142342,0.07582278433142374,True,True,True,True,4.074894862165657e-16,7.046282898929626e-15,True,True,1.1577976311400603e-14,True,0.0,True,pass
38,0.38000000000000006,matlab,7.312046608012625e-12,8.438129399230948e-12,0.0,4.208140706774718e-14,4.833131229309389e-14,1.1400000000000001,1.14e-06,0.07582278433142309,0.07582278433142309,True,True,True,True,4.137981264691395e-16,4.474718686723137e-15,True,True,2.4633992151915736e-15,True,0.0,True,pass
39,0.38999999999999996,python,7.04532114131542e-12,9.32991509284874e-12,0.0,2.6277363092617702e-14,4.39653924902799e-14,1.17,1.1699999999999998e-06,0.05963407171060623,0.059634071710606196,True,True,True,True,4.0682732286279845e-16,9.140016866318835e-15,True,True,4.482618677721014e-15,True,1.1908408107169457e-16,True,pass
39,0.38999999999999996,matlab,7.922975772375456e-12,9.295733403752953e-12,0.0,9.459100169806334e-14,6.084184249141044e-14,1.17,1.1699999999999998e-06,0.059634071710606404,0.059634071710606404,True,True,True,True,4.093526041671722e-16,5.1790944699989164e-15,True,True,6.252073418926725e-15,True,3.572522432150848e-16,True,pass
40,0.4,python,7.946613315219255e-12,1.0105531857574475e-11,0.0,5.197930934883577e-15,1.6876850730849092e-14,1.2000000000000002,1.2000000000000002e-06,0.04516716014625794,0.04516716014625797,True,True,True,True,4.582418670860086e-16,7.310132264292957e-15,True,True,5.7743601117806604e-15,True,4.383749555916169e-16,True,pass
40,0.4,matlab,7.941797737029812e-12,9.430921536293761e-12,0.0,6.217288588596748e-14,6.928360995408551e-14,1.2000000000000002,1.2000000000000002e-06,0.04516716014625896,0.04516716014625896,True,True,True,True,4.2632854186790808e-16,5.555885261896601e-15,True,True,3.396682418694489e-16,True,0.0,True,pass
41,0.41000000000000003,python,7.979668838520223e-12,1.0003773188221276e-11,0.0,3.3306690738754696e-14,1.6432800997348796e-14,1.23,1.2299999999999999e-06,0.03267125411068795,0.03267125411068774,True,True,True,True,4.447445193418212e-16,9.117344531889746e-15,True,True,3.9211799314143514e-15,True,2.0211358959657147e-16,True,pass
41,0.41000000000000003,matlab,7.727476673644361e-12,9.634134427798835e-12,0.0,4.130984571769004e-14,1.0170515532513835e-13,1.23,1.2299999999999999e-06,0.032671254110712526,0.032671254110712526,True,True,True,True,4.330561495989174e-16,6.090630633189434e-15,True,True,9.367263169489938e-15,True,0.0,True,pass
42,0.42,python,7.65594783730735e-12,9.78536470304822e-12,0.0,8.66156130491387e-14,1.5054886211171173e-13,1.26,1.26e-06,0.022348821033870286,0.022348821033870564,True,True,True,True,4.511670369557269e-16,8.427900512344756e-15,True,True,1.0083888169803088e-14,True,3.74015438026852e-16,True,pass
42,0.42,matlab,7.022927906705692e-12,8.787081754540094e-12,0.0,5.685035733124713e-14,8.393315437094281e-14,1.26,1.26e-06,0.02234882103389855,0.02234882103389855,True,True,True,True,4.3983514762151337e-16,5.449956920210042e-15,True,True,8.403240141502557e-15,True,1.870077190134391e-16,True,pass
43,0.43,python,9.651645609858638e-12,1.128526645165168e-11,0.0,4.974592103558154e-14,9.81025129326275e-15,1.29,1.29e-06,0.014318359208872582,0.014318359208872113,True,True,True,True,4.610560731798097e-16,7.263665176864074e-15,True,True,3.046853012743609e-15,True,1.7398452831524987e-16,True,pass
43,0.43,matlab,6.9817891304474765e-12,8.963321074583057e-12,0.0,3.4684476073050936e-15,8.542226509110115e-15,1.29,1.29e-06,0.014318359210019817,0.014318359210019817,True,True,True,True,4.827822091457541e-16,4.510808148915861e-15,True,True,8.124941367320118e-15,True,3.479690566318265e-16,True,pass
